1	2	3
1	3	9
1	4	6
1	5	5
1	6	5
1	7	3
1	8	1
1	10	3
1	12	3
1	13	4
1	14	3
1	15	3
1	16	2
1	17	3
1	18	21
1	19	3
1	20	2
1	21	14
1	22	5
1	23	2
1	24	2
1	25	3
1	26	1
1	27	4
1	28	2
1	29	3
1	30	4
1	31	3
1	32	1
1	33	1
1	34	5
1	35	3
1	36	2
1	37	3
1	38	4
1	39	2
1	40	5
1	41	2
1	42	4
1	44	1
1	45	2
1	46	4
1	47	10
1	48	1
1	49	1
1	50	4
1	51	4
1	52	4
2	3	2
2	4	1
2	5	1
2	6	1
2	7	1
2	8	1
2	9	1
2	11	1
2	13	1
2	14	2
2	15	1
2	16	1
2	17	1
2	18	6
2	19	1
2	21	2
2	22	1
2	24	3
2	27	2
2	34	2
2	39	2
2	40	3
2	43	1
2	44	1
2	47	1
2	49	1
2	51	1
2	52	1
3	4	9
3	5	4
3	6	9
3	7	2
3	9	2
3	10	4
3	12	3
3	13	1
3	14	3
3	15	1
3	16	4
3	17	2
3	18	14
3	19	2
3	20	2
3	21	6
3	22	3
3	23	2
3	24	2
3	25	3
3	26	1
3	27	4
3	28	1
3	29	4
3	30	1
3	31	4
3	32	1
3	34	5
3	36	5
3	37	4
3	38	2
3	40	3
3	42	3
3	43	1
3	44	4
3	45	2
3	47	5
3	49	1
3	50	2
3	51	1
4	5	4
4	6	8
4	7	1
4	8	1
4	9	1
4	10	4
4	11	2
4	12	2
4	13	2
4	14	1
4	15	3
4	16	2
4	18	12
4	20	4
4	21	15
4	22	2
4	23	2
4	24	1
4	25	6
4	26	3
4	27	2
4	28	2
4	29	2
4	30	4
4	31	3
4	32	2
4	33	2
4	34	2
4	36	1
4	37	2
4	39	3
4	40	6
4	42	9
4	43	5
4	44	5
4	45	2
4	46	1
4	47	8
4	48	1
4	49	2
4	50	10
4	51	2
5	10	2
5	11	1
5	12	1
5	13	3
5	14	1
5	16	1
5	18	6
5	19	2
5	20	1
5	21	8
5	22	4
5	25	2
5	27	2
5	30	5
5	34	2
5	35	2
5	36	2
5	37	2
5	38	3
5	40	2
5	43	1
5	46	1
5	47	2
5	48	2
5	49	1
5	50	1
5	51	2
6	8	2
6	9	4
6	10	4
6	11	2
6	12	4
6	13	1
6	15	5
6	16	3
6	17	1
6	18	15
6	20	1
6	21	17
6	22	2
6	23	3
6	24	4
6	25	4
6	27	2
6	29	5
6	30	3
6	31	6
6	32	1
6	34	4
6	35	3
6	36	3
6	37	3
6	39	1
6	40	4
6	42	4
6	43	1
6	44	7
6	45	2
6	46	1
6	47	8
6	48	2
6	50	5
6	52	2
7	10	1
7	13	2
7	14	1
7	18	6
7	20	1
7	21	3
7	22	1
7	25	1
7	27	1
7	29	1
7	30	1
7	37	2
7	40	3
7	42	1
7	43	1
7	45	1
7	48	1
8	9	1
8	11	3
8	15	2
8	18	3
8	19	2
8	21	4
8	22	1
8	23	1
8	28	1
8	31	6
8	32	1
8	37	2
8	38	1
8	39	1
8	40	1
8	42	3
8	43	1
8	44	1
8	47	2
8	49	3
8	50	3
8	52	1
9	11	2
9	13	1
9	14	3
9	15	3
9	17	1
9	18	6
9	21	2
9	23	1
9	25	1
9	31	3
9	32	1
9	37	1
9	39	1
9	42	3
9	47	3
9	48	1
10	11	1
10	12	1
10	14	1
10	17	1
10	18	11
10	19	1
10	20	1
10	21	6
10	24	1
10	25	2
10	27	1
10	29	2
10	30	1
10	31	1
10	33	3
10	34	3
10	35	1
10	36	3
10	37	1
10	38	2
10	42	2
10	45	6
10	47	1
10	48	3
10	49	1
10	50	4
10	52	1
11	12	4
11	14	1
11	18	1
11	19	1
11	31	1
11	32	1
11	33	1
11	34	1
11	35	1
11	40	1
11	42	1
11	43	1
11	49	3
11	50	3
12	14	1
12	15	1
12	19	1
12	20	1
12	21	4
12	22	2
12	28	2
12	31	7
12	32	3
12	33	1
12	34	1
12	35	1
12	39	2
12	40	2
12	42	2
12	44	1
12	45	1
12	47	2
12	48	2
12	49	1
12	50	4
13	17	1
13	18	8
13	21	4
13	25	2
13	26	1
13	27	2
13	31	3
13	34	1
13	36	1
13	38	1
13	40	4
13	42	3
13	43	1
13	47	3
13	49	1
13	50	1
13	52	1
14	15	2
14	17	1
14	18	4
14	19	2
14	20	2
14	21	4
14	22	2
14	23	1
14	25	3
14	29	1
14	31	1
14	33	1
14	34	2
14	36	2
14	37	1
14	39	1
14	40	5
14	41	2
14	42	1
14	45	1
14	47	2
14	49	1
14	50	1
14	51	1
14	52	2
15	17	1
15	18	8
15	20	2
15	21	5
15	22	1
15	23	1
15	25	1
15	26	1
15	27	1
15	31	1
15	32	2
15	33	5
15	35	1
15	36	2
15	39	1
15	40	1
15	41	2
15	42	4
15	43	1
15	44	1
15	47	6
15	49	1
15	50	2
15	52	1
16	18	7
16	21	1
16	22	1
16	29	2
16	31	1
16	32	1
16	36	1
16	40	1
16	43	2
16	52	1
17	18	6
17	20	1
17	21	4
17	25	2
17	26	2
17	27	2
17	28	1
17	31	2
17	33	1
17	34	1
17	35	1
17	37	1
17	38	1
17	40	3
17	42	1
17	47	1
17	50	1
17	52	1
18	19	2
18	20	4
18	21	18
18	22	3
18	23	2
18	24	2
18	25	5
18	26	2
18	27	8
18	28	4
18	29	3
18	30	1
18	31	15
18	34	4
18	35	7
18	36	8
18	37	8
18	38	4
18	39	6
18	40	11
18	41	1
