1	5	1
1	6	1
1	8	1
1	9	2
1	15	5
1	19	2
1	20	2
1	21	3
1	24	1
1	26	1
1	27	2
1	28	1
1	29	2
2	14	1
2	15	1
2	24	1
2	27	1
3	4	1
3	5	3
3	7	2
3	9	2
3	10	1
3	13	1
3	16	6
3	17	1
3	21	1
3	22	1
3	24	1
3	25	1
3	28	3
3	30	1
4	5	2
4	7	3
4	10	1
4	16	3
4	17	1
4	22	1
4	27	1
5	6	4
5	9	1
5	16	1
5	17	1
5	18	1
5	19	1
5	20	1
5	24	1
5	28	3
6	7	1
6	9	1
6	13	2
6	16	7
6	17	3
6	18	1
6	19	1
6	20	1
6	22	2
6	25	1
6	27	2
6	28	1
7	10	1
7	12	1
7	16	1
7	17	2
7	18	5
7	20	1
7	22	1
7	23	2
7	24	1
7	25	1
7	28	1
7	30	1
8	14	2
8	16	1
8	17	1
8	24	2
8	30	1
9	13	1
9	14	1
9	16	1
9	17	1
9	19	3
9	20	1
9	21	2
9	22	1
9	24	1
9	27	1
9	28	1
9	29	1
10	12	3
10	14	1
10	15	1
10	17	1
10	22	1
10	24	1
10	25	1
10	28	3
11	14	1
11	25	1
11	26	1
11	27	1
11	30	1
12	15	1
12	16	1
12	18	1
12	19	1
12	22	1
12	24	2
12	26	1
12	27	1
13	16	1
13	17	2
13	19	1
13	26	1
14	16	1
14	24	2
14	25	1
15	27	1
15	29	3
16	17	3
16	18	1
16	19	1
16	20	3
16	22	2
16	25	1
16	26	1
16	27	1
16	30	1
17	22	1
17	25	1
17	28	1
17	30	2
18	22	1
18	24	1
18	28	2
19	20	3
19	21	2
19	22	2
19	24	2
19	28	2
19	29	3
20	21	4
20	24	1
22	28	2
22	30	2
23	26	1
23	27	1
23	29	1
23	30	2
24	28	2
25	30	1
26	30	1
27	29	1
28	29	1
